Id,Admin_Permission_Set__c,Description__c,Github_Repository_URL__c,Dependencies_Met__c,Install_Key__c,Latest_Commit_DateTime__c,Latest_Commit_Description__c,Latest_Commit_Hash__c,Latest_Package_Version__c,Latest_Package_Version_Name__c,Latest_SFDX_Package_Alias__c,Latest_SFDX_Package_Version_Description__c,Latest_SFDX_Package_Version_Name__c,Latest_Subscriber_Package_Version_Id__c,Latest_Tag_Commit_DateTime__c,Latest_Tag_Commit_Description__c,Latest_Tag_Commit_Hash__c,Latest_Tag_Version_Name__c,Package_Name__c,POC_Email__c,POC_Name__c,SFDX_Package_Enabled_Flag__c,SFDX_Package_Name__c,Source_Install_Type_Flag__c,Package_Install_Type_Flag__c,Subscriber_Package_Id__c,Title__c,Name
a02J000000TFmLPIA1,,Simple yet flexible charting Lightning Web Component using Chart.js for admins &amp; developers,https://github.com/salesforcelabs/lightningwebchartjs,true,,2020-10-02T16:52:05.000+0000,Boolean parser for LWC attributes (#18)  * Add new util method to parse booleans for LWC,d2688f0dbb0b56d424540afc889074194eb20340,,,,,,,2020-09-18T17:51:35.000+0000,Revert breaking API naming changes on tick property (#14),02af81851d956fba5fa17d4eef4468d54d49bfaa,v1.2.0,,labsapps@salesforce.com,@SalesforceLabs,false,,true,false,,lightningwebchartjs,D-00000
a02J000000TFmLQIA1,,Excel Upload Lightning Web Component,https://github.com/SalesforceLabs/ExcelUpload,true,,2020-09-28T11:56:38.000+0000,Removed email from project-scratch-def.json,fd0523534510113f1a7861ebbf97d08f05c76a5a,,,,,,,,,,,,labsapps@salesforce.com,@SalesforceLabs,false,,true,false,,ExcelUpload,D-00001
a02J000000TFmLRIA1,,Allows adding an approval history related list to any Lightning Page.,https://github.com/SalesforceLabs/ApprovalHistoryLWC,true,,2020-09-05T21:11:13.000+0000,Merge pull request #3 from SalesforceLabs/adding-comments-column  adding comments,b3be4c7700fc49de8a0129dae44263e97afbe528,,,,,,,,,,,,labsapps@salesforce.com,@SalesforceLabs,false,,true,false,,ApprovalHistoryLWC,D-00002
a02J000000TFmLSIA1,,This a duplicate of a peers RichTextInputFSC&#39;s repository used for Testing.....,https://github.com/davidlarrimore/richTextInputFSC,true,,2020-08-27T19:26:30.000+0000,adding orgInit.sh,ba99ca2ffdd0e25596be4e1fa9cbc18bb2f57f81,0.3.0-1,ver 0.3,richTextAreaFSC@0.3.0-1,Finally Version 2!!!!,ver 0.3,04t3h000004bdyCAAQ,2020-08-27T04:44:15.000+0000,Post Package Release,bf1d4fe818a19ea8849c18f1bd692d7afe3331be,3.0,richTextAreaFSC,,David Larrimore,true,richTextAreaFSC,true,true,0333h000000AYQGAA4,richTextAreaFSC,D-00003
a02J000000TFmLWIA1,,,,true,,,,,228.0.12-1,Winter 2021,,,,04t3y000001qQ8IAAU,,,,,FSL,,,false,,false,true,0330M000001ExoUQAS,FSL,D-00007
a02J000000TFmLXIA1,,"Contains a B2B Commerce (Cloudcraze) dashboard example, with supporting repots.",,true,,,,,1.0.0-1,1.0,,,,04t0H000000YIzWQAW,,,,,B2B Commerce Dashboard,,,false,,false,true,0330H000000XsU5QAK,B2B Commerce Dashboard,D-00008
a02J000000TFmLYIA1,,,,true,,,,,1.11.0-1,Spring 2019,,,,04t0N0000013jovQAA,,,,,SalesforceRewind,,,false,,false,true,0330N0000001uqaQAA,SalesforceRewind,D-00009
a02J000000TFmMAIA1,,,,true,,,,,1.9.0-1,1.9,,,,04t28000000yB3FAAU,,,,,Highlight Panel Please!,,,false,,false,true,03328000000QGmzAAG,Highlight Panel Please!,D-00047
a02J000000TFmMBIA1,,For B2BMA integration with Pardot,,true,,,,,1.0.0-2,Pardot220,,,,04t2E000000sj6xQAA,,,,,b2bmaIntegration,,,false,,false,true,0332E000000HZrFQAW,b2bmaIntegration,D-00048
a02J000000TFmMCIA1,,Beta,,true,,,,,1.1.0-3,1.1,,,,04t2E000003hMEwQAM,,,,,Automatic Dashboard from ED Story,,,false,,false,true,0332E000000Lx5sQAC,Automatic Dashboard from ED Story,D-00049
